Timestamp;Age;Gender;Education Level;Number 1;Number 2;Number 3
02/04/2014 13:50:41;20;Male;College ( undergraduate );456;345;987
02/04/2014 13:44:11;19;Male;College ( undergraduate );248;562;292
02/04/2014 14:12:27;18;Male;Intermediate ( upto class 12th );777;123;456
02/04/2014 13:52:46;18;Male;College ( undergraduate );456;357;137
02/04/2014 14:21:52;20;Male;Intermediate ( upto class 12th );497;125;662
02/04/2014 14:25:23;21;Male;Intermediate ( upto class 12th );219;209;200
02/04/2014 14:29:06;21;Female;College ( undergraduate );183;566;676
02/04/2014 14:42:21;20;Male;College ( undergraduate );555;777;909
02/04/2014 14:51:36;20;Male;College ( undergraduate );147;359;856
02/04/2014 15:21:14;20;Male;College ( undergraduate );222;244;444
02/04/2014 15:22:17;19;Female;College ( undergraduate );693;242;868
02/04/2014 15:44:04;16;Male;College ( undergraduate );799;141;652
02/04/2014 16:31:17;21;Female;College ( undergraduate );253;842;916
02/04/2014 16:45:45;20;Male;College ( undergraduate );219;138;204
02/04/2014 17:29:48;20;Male;College ( undergraduate );345;269;459
02/04/2014 17:37:42;22;Male;College ( undergraduate );111;111;111
02/04/2014 18:32:59;18;Male;College ( undergraduate );777;666;222
02/04/2014 17:57:08;19;Male;College ( undergraduate );123;777;786
02/04/2014 18:16:09;21;Male;College ( undergraduate );777;125;981
02/04/2014 18:43:40;20;Male;College ( undergraduate );456;793;114
02/04/2014 19:25:44;21;Male;College ( undergraduate );240;109;237
02/04/2014 19:38:34;22;Male;College ( undergraduate );100;420;501
02/04/2014 19:22:33;74;Male;College ( undergraduate );156;578;556
02/04/2014 19:19:29;21;Male;College ( undergraduate );771;844;178
02/04/2014 20:22:50;20;Female;College ( undergraduate );286;319;407
02/04/2014 19:53:15;99;Male;College ( undergraduate );489;624;527
02/04/2014 20:47:30;21;Male;College ( undergraduate );519;568;319
02/04/2014 21:29:17;18;Male;College ( undergraduate );123;456;789
02/04/2014 21:41:00;19;Male;Intermediate ( upto class 12th );254;852;342
02/04/2014 21:41:55;21;Male;College ( undergraduate );342;464;471
02/04/2014 21:44:25;21;Male;College ( undergraduate );714;105;129
02/04/2014 21:52:51;19;Male;College ( undergraduate );123;421;589
02/04/2014 23:06:30;21;Male;College ( undergraduate );786;666;512
02/04/2014 23:51:36;20;Male;College ( undergraduate );341;345;765
03/04/2014 02:50:38;18;Female;College ( undergraduate );280;100;102
03/04/2014 02:52:29;18;Male;College ( undergraduate );212;463;769
03/04/2014 02:56:10;10;Male;No formal education;622;441;878
03/04/2014 03:30:29;20;Male;College ( undergraduate );576;982;157
03/04/2014 06:57:41;18;Male;College ( undergraduate );109;114;999
03/04/2014 09:14:30;20;Male;College ( undergraduate );458;759;164
03/04/2014 10:30:10;20;Male;College ( undergraduate );897;568;231
03/04/2014 12:20:02;21;Male;College ( undergraduate );543;723;621
03/04/2014 12:00:26;21;Female;College ( undergraduate );823;425;700
03/04/2014 12:31:33;20;Male;College ( undergraduate );875;461;743
03/04/2014 12:54:14;21;Male;College ( undergraduate );288;182;161
04/04/2014 02:48:42;12;Male;No formal education;232;453;674
04/04/2014 02:49:13;16;Male;High school ( upto class 10th  );323;444;445
